"","date","RetNom","RetReal","RetHistAve","PriceDev","PriceDev2","TriggerPercent","HeadInf","RiceInf","Contri","IppReal","IppNom","WsaleReal","IPPGap","WsaleNom","RetGap","SURCurrent","TotalUse","SURindex","CPSI","risk_categ"
"2",2016-02-01,36.54,39.0852159042676,39.6210176801387,-0.0135231704595944,0.316083607338298,-0.625509926570585,0.5,-1.8,-0.00159640673,28.559804724094,26.7,35.737193851385,0.251310861423221,33.41,-0.0936845255911405,2942.84,12566,0.770288033721021,0.226080599584995,"Moderate Risk"
"3",2016-03-01,36.35,38.9513420008247,39.7319535151678,-0.0196469452237001,0.301904013679322,-0.519978106184997,0.6,-1.4,-0.00124164968,28.8357802824699,26.91,35.7152195025909,0.238573021181717,33.33,-0.0906090609060907,2674.165,12566,0.791260245101866,0.228266184418675,"Moderate Risk"
"4",2016-04-01,36.28,38.9103586200798,39.8593717421439,-0.0238090336246007,0.28783593454787,-0.192572214580468,0.7,-1,-0.00088689263,28.8610184790027,26.91,35.8108289488629,0.240802675585284,33.39,-0.0865528601377658,3359.008,12566,0.737802825696667,0.217970857534864,"Moderate Risk"
"5",2016-05-01,36.57,39.2235129665102,39.9656437266753,-0.0185692182325521,0.290622616377691,0.799338478500549,0.9,-0.9,-0.00079820337,29.2058041580713,27.23,36.027284673875,0.233565919941241,33.59,-0.0887168800238165,3689.41,12566,0.712012333151198,0.210732510943762,"Moderate Risk"
"6",2016-06-01,36.83,39.4528144570476,40.1548448421519,-0.0174830805065742,0.287283100131916,0.710965272080935,1.3,-0.7,-0.00062082484,28.3978851821987,26.51,36.5176878861242,0.285929837797058,34.09,-0.080375476679378,3235.29,12566,0.747459995316525,0.226373843027907,"Moderate Risk"
"7",2016-07-01,36.62,39.0116135748738,40.2447821706786,-0.0306417013409318,0.271356896474488,-0.570187347271249,1.3,0,0,28.2306870500182,26.5,36.7105462544764,0.300377358490566,34.46,-0.0626813697040045,2733.64,12566,0.786617750370775,0.236063635981256,"Moderate Risk"
"8",2016-08-01,36.9,39.2271588521208,40.3850249204413,-0.02867067856468,0.269758458396235,0.764609503003826,1.3,0.4,0.00035475705,27.6503631897406,26.01,36.1974189392797,0.309111880046136,34.05,-0.0837004405286344,2103.16,12566,0.835831707126688,0.251533892663228,"High Risk"
"9",2016-09-01,36.98,39.1886360378653,40.0722107061392,-0.0220495613469746,0.267362416255776,0.216802168021676,1.7,0.5,0.00044344631,27.4256868769432,25.88,36.3803643927921,0.326506955177743,34.33,-0.0771919603845033,1775.76,12566,0.861387869799391,0.257515958603723,"High Risk"
"10",2016-10-01,36.88,39.0931991929322,39.6733558920568,-0.014623333118153,0.282336578581363,-0.270416441319617,1.8,0.6,0.00053213558,27.7616834827171,26.19,35.5951634726857,0.282168766704849,33.58,-0.0982727814175106,2286.57,12566,0.821515104207322,0.243422424205567,"Moderate Risk"
"11",2016-11-01,36.74,39.0175402688534,39.4784542587965,-0.0116750769146542,0.287097831368871,-0.379609544468548,2.1,0.6,0.00053213558,28.769329502643,27.09,35.4492513399123,0.23218899963086,33.38,-0.100659077291791,3302.33,12566,0.742226992428382,0.217456456369138,"Moderate Risk"
